Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	RoggemanTomas	Roggeman, Tomas	M	1986	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-05-25-definitief-55-commissie-ic487x	ParlaMint-BE_2021-05-25-definitief-55-commissie-ic487x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-05-2021	2021-05-25	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
