Session,Date,Male,Female
ParlaMint-FR-en_2017-06-27-O1124-meta.tsv,2017-06-27,2,0
ParlaMint-FR-en_2017-06-28-O1125-meta.tsv,2017-06-28,21,1
ParlaMint-FR-en_2017-07-03-C1001-meta.tsv,2017-07-03,15,1
ParlaMint-FR-en_2017-07-03-O1001-meta.tsv,2017-07-03,15,1
ParlaMint-FR-en_2017-07-04-E1001-meta.tsv,2017-07-04,32,8
ParlaMint-FR-en_2017-07-05-E1002-meta.tsv,2017-07-05,39,10
ParlaMint-FR-en_2017-07-06-E1003-meta.tsv,2017-07-06,29,10
ParlaMint-FR-en_2017-07-06-E1004-meta.tsv,2017-07-06,21,9
ParlaMint-FR-en_2017-07-10-E1005-meta.tsv,2017-07-10,31,14
ParlaMint-FR-en_2017-07-10-E1006-meta.tsv,2017-07-10,29,14
ParlaMint-FR-en_2017-07-11-E1007-meta.tsv,2017-07-11,45,19
ParlaMint-FR-en_2017-07-11-E1008-meta.tsv,2017-07-11,36,7
ParlaMint-FR-en_2017-07-12-E1009-meta.tsv,2017-07-12,62,21
ParlaMint-FR-en_2017-07-12-E1010-meta.tsv,2017-07-12,34,12
ParlaMint-FR-en_2017-07-13-E1011-meta.tsv,2017-07-13,31,10
ParlaMint-FR-en_2017-07-13-E1012-meta.tsv,2017-07-13,45,17
ParlaMint-FR-en_2017-07-18-E1013-meta.tsv,2017-07-18,37,12
ParlaMint-FR-en_2017-07-18-E1014-meta.tsv,2017-07-18,24,8
ParlaMint-FR-en_2017-07-19-E1015-meta.tsv,2017-07-19,62,28
ParlaMint-FR-en_2017-07-20-E1016-meta.tsv,2017-07-20,32,20
ParlaMint-FR-en_2017-07-24-E1017-meta.tsv,2017-07-24,46,17
ParlaMint-FR-en_2017-07-24-E1018-meta.tsv,2017-07-24,40,25
ParlaMint-FR-en_2017-07-25-E1019-meta.tsv,2017-07-25,68,19
ParlaMint-FR-en_2017-07-25-E1020-meta.tsv,2017-07-25,46,13
ParlaMint-FR-en_2017-07-26-E1021-meta.tsv,2017-07-26,75,29
ParlaMint-FR-en_2017-07-26-E1022-meta.tsv,2017-07-26,43,23
ParlaMint-FR-en_2017-07-27-E1023-meta.tsv,2017-07-27,45,18
ParlaMint-FR-en_2017-07-27-E1024-meta.tsv,2017-07-27,56,24
ParlaMint-FR-en_2017-07-27-E1025-meta.tsv,2017-07-27,46,21
ParlaMint-FR-en_2017-07-28-E1026-meta.tsv,2017-07-28,44,22
ParlaMint-FR-en_2017-07-28-E1027-meta.tsv,2017-07-28,66,29
ParlaMint-FR-en_2017-07-28-E1028-meta.tsv,2017-07-28,43,22
ParlaMint-FR-en_2017-08-01-E1029-meta.tsv,2017-08-01,35,7
ParlaMint-FR-en_2017-08-02-E1030-meta.tsv,2017-08-02,52,15
ParlaMint-FR-en_2017-08-03-E1031-meta.tsv,2017-08-03,41,15
ParlaMint-FR-en_2017-08-03-E1032-meta.tsv,2017-08-03,48,17
ParlaMint-FR-en_2017-08-09-E1033-meta.tsv,2017-08-09,53,27
ParlaMint-FR-en_2017-09-25-E2001-meta.tsv,2017-09-25,35,14
ParlaMint-FR-en_2017-09-25-E2002-meta.tsv,2017-09-25,39,14
ParlaMint-FR-en_2017-09-26-E2003-meta.tsv,2017-09-26,69,29
ParlaMint-FR-en_2017-09-26-E2004-meta.tsv,2017-09-26,43,20
ParlaMint-FR-en_2017-09-27-E2005-meta.tsv,2017-09-27,50,22
ParlaMint-FR-en_2017-09-27-E2006-meta.tsv,2017-09-27,40,14
ParlaMint-FR-en_2017-09-28-E2007-meta.tsv,2017-09-28,49,18
ParlaMint-FR-en_2017-09-28-E2008-meta.tsv,2017-09-28,39,18
ParlaMint-FR-en_2017-10-03-O1001-meta.tsv,2017-10-03,65,21
ParlaMint-FR-en_2017-10-03-O1002-meta.tsv,2017-10-03,41,10
ParlaMint-FR-en_2017-10-04-O1003-meta.tsv,2017-10-04,63,24
ParlaMint-FR-en_2017-10-04-O1004-meta.tsv,2017-10-04,22,10
ParlaMint-FR-en_2017-10-10-O1005-meta.tsv,2017-10-10,60,25
ParlaMint-FR-en_2017-10-10-O1006-meta.tsv,2017-10-10,34,11
ParlaMint-FR-en_2017-10-11-O1007-meta.tsv,2017-10-11,63,24
ParlaMint-FR-en_2017-10-12-O1008-meta.tsv,2017-10-12,29,11
ParlaMint-FR-en_2017-10-12-O1009-meta.tsv,2017-10-12,23,13
ParlaMint-FR-en_2017-10-17-O1010-meta.tsv,2017-10-17,71,21
ParlaMint-FR-en_2017-10-17-O1011-meta.tsv,2017-10-17,43,12
ParlaMint-FR-en_2017-10-18-O1012-meta.tsv,2017-10-18,78,30
ParlaMint-FR-en_2017-10-18-O1013-meta.tsv,2017-10-18,32,11
ParlaMint-FR-en_2017-10-19-O1014-meta.tsv,2017-10-19,44,14
ParlaMint-FR-en_2017-10-19-O1015-meta.tsv,2017-10-19,52,15
ParlaMint-FR-en_2017-10-19-O1016-meta.tsv,2017-10-19,32,16
ParlaMint-FR-en_2017-10-20-O1017-meta.tsv,2017-10-20,40,12
ParlaMint-FR-en_2017-10-20-O1018-meta.tsv,2017-10-20,31,20
ParlaMint-FR-en_2017-10-20-O1019-meta.tsv,2017-10-20,32,15
ParlaMint-FR-en_2017-10-21-O1020-meta.tsv,2017-10-21,28,15
ParlaMint-FR-en_2017-10-21-O1021-meta.tsv,2017-10-21,32,16
ParlaMint-FR-en_2017-10-21-O1022-meta.tsv,2017-10-21,29,15
ParlaMint-FR-en_2017-10-23-O1023-meta.tsv,2017-10-23,26,13
ParlaMint-FR-en_2017-10-24-O1024-meta.tsv,2017-10-24,63,20
ParlaMint-FR-en_2017-10-24-O1025-meta.tsv,2017-10-24,32,19
ParlaMint-FR-en_2017-10-25-O1026-meta.tsv,2017-10-25,82,31
ParlaMint-FR-en_2017-10-25-O1027-meta.tsv,2017-10-25,46,24
ParlaMint-FR-en_2017-10-26-O1028-meta.tsv,2017-10-26,47,16
ParlaMint-FR-en_2017-10-26-O1029-meta.tsv,2017-10-26,37,26
ParlaMint-FR-en_2017-10-26-O1030-meta.tsv,2017-10-26,29,21
ParlaMint-FR-en_2017-10-27-O1031-meta.tsv,2017-10-27,24,20
ParlaMint-FR-en_2017-10-27-O1032-meta.tsv,2017-10-27,31,25
ParlaMint-FR-en_2017-10-27-O1033-meta.tsv,2017-10-27,22,25
ParlaMint-FR-en_2017-10-31-O1034-meta.tsv,2017-10-31,60,23
ParlaMint-FR-en_2017-10-31-O1035-meta.tsv,2017-10-31,11,12
ParlaMint-FR-en_2017-11-02-O1036-meta.tsv,2017-11-02,25,14
ParlaMint-FR-en_2017-11-02-O1037-meta.tsv,2017-11-02,29,13
ParlaMint-FR-en_2017-11-02-O1038-meta.tsv,2017-11-02,37,17
ParlaMint-FR-en_2017-11-03-O1039-meta.tsv,2017-11-03,26,10
ParlaMint-FR-en_2017-11-03-O1040-meta.tsv,2017-11-03,20,12
ParlaMint-FR-en_2017-11-06-O1041-meta.tsv,2017-11-06,22,12
ParlaMint-FR-en_2017-11-07-O1042-meta.tsv,2017-11-07,54,21
ParlaMint-FR-en_2017-11-07-O1043-meta.tsv,2017-11-07,33,11
ParlaMint-FR-en_2017-11-08-O1044-meta.tsv,2017-11-08,46,28
ParlaMint-FR-en_2017-11-08-O1045-meta.tsv,2017-11-08,43,19
ParlaMint-FR-en_2017-11-09-O1046-meta.tsv,2017-11-09,20,11
ParlaMint-FR-en_2017-11-09-O1047-meta.tsv,2017-11-09,37,13
ParlaMint-FR-en_2017-11-09-O1048-meta.tsv,2017-11-09,20,11
ParlaMint-FR-en_2017-11-10-O1049-meta.tsv,2017-11-10,18,11
ParlaMint-FR-en_2017-11-10-O1050-meta.tsv,2017-11-10,16,11
ParlaMint-FR-en_2017-11-13-O1051-meta.tsv,2017-11-13,27,22
ParlaMint-FR-en_2017-11-13-O1052-meta.tsv,2017-11-13,20,18
ParlaMint-FR-en_2017-11-14-O1053-meta.tsv,2017-11-14,46,33
ParlaMint-FR-en_2017-11-14-O1054-meta.tsv,2017-11-14,44,15
ParlaMint-FR-en_2017-11-15-O1055-meta.tsv,2017-11-15,76,25
ParlaMint-FR-en_2017-11-15-O1056-meta.tsv,2017-11-15,35,14
ParlaMint-FR-en_2017-11-16-O1057-meta.tsv,2017-11-16,32,15
ParlaMint-FR-en_2017-11-16-O1058-meta.tsv,2017-11-16,35,20
ParlaMint-FR-en_2017-11-16-O1059-meta.tsv,2017-11-16,26,14
ParlaMint-FR-en_2017-11-17-O1060-meta.tsv,2017-11-17,16,15
ParlaMint-FR-en_2017-11-17-O1061-meta.tsv,2017-11-17,25,13
ParlaMint-FR-en_2017-11-17-O1062-meta.tsv,2017-11-17,11,14
ParlaMint-FR-en_2017-11-20-O1063-meta.tsv,2017-11-20,30,17
ParlaMint-FR-en_2017-11-21-O1064-meta.tsv,2017-11-21,57,15
ParlaMint-FR-en_2017-11-21-O1065-meta.tsv,2017-11-21,37,12
ParlaMint-FR-en_2017-11-22-O1066-meta.tsv,2017-11-22,61,21
ParlaMint-FR-en_2017-11-22-O1067-meta.tsv,2017-11-22,23,8
ParlaMint-FR-en_2017-11-23-O1068-meta.tsv,2017-11-23,28,9
ParlaMint-FR-en_2017-11-23-O1069-meta.tsv,2017-11-23,20,7
ParlaMint-FR-en_2017-11-23-O1070-meta.tsv,2017-11-23,15,7
ParlaMint-FR-en_2017-11-27-O1071-meta.tsv,2017-11-27,11,7
ParlaMint-FR-en_2017-11-27-O1072-meta.tsv,2017-11-27,17,5
ParlaMint-FR-en_2017-11-28-O1073-meta.tsv,2017-11-28,53,24
ParlaMint-FR-en_2017-11-28-O1074-meta.tsv,2017-11-28,37,15
ParlaMint-FR-en_2017-11-29-O1075-meta.tsv,2017-11-29,63,20
ParlaMint-FR-en_2017-11-29-O1076-meta.tsv,2017-11-29,27,12
ParlaMint-FR-en_2017-11-30-O1077-meta.tsv,2017-11-30,27,10
ParlaMint-FR-en_2017-11-30-O1078-meta.tsv,2017-11-30,29,12
ParlaMint-FR-en_2017-11-30-O1079-meta.tsv,2017-11-30,17,14
ParlaMint-FR-en_2017-12-01-O1080-meta.tsv,2017-12-01,12,9
ParlaMint-FR-en_2017-12-04-O1081-meta.tsv,2017-12-04,24,7
ParlaMint-FR-en_2017-12-04-O1082-meta.tsv,2017-12-04,24,12
ParlaMint-FR-en_2017-12-05-O1083-meta.tsv,2017-12-05,46,28
ParlaMint-FR-en_2017-12-05-O1084-meta.tsv,2017-12-05,29,12
ParlaMint-FR-en_2017-12-06-O1085-meta.tsv,2017-12-06,56,25
ParlaMint-FR-en_2017-12-06-O1086-meta.tsv,2017-12-06,25,17
ParlaMint-FR-en_2017-12-07-O1087-meta.tsv,2017-12-07,29,13
ParlaMint-FR-en_2017-12-07-O1088-meta.tsv,2017-12-07,40,14
ParlaMint-FR-en_2017-12-07-O1089-meta.tsv,2017-12-07,18,14
ParlaMint-FR-en_2017-12-08-O1090-meta.tsv,2017-12-08,14,7
ParlaMint-FR-en_2017-12-08-O1091-meta.tsv,2017-12-08,9,4
ParlaMint-FR-en_2017-12-11-O1092-meta.tsv,2017-12-11,9,4
ParlaMint-FR-en_2017-12-12-O1093-meta.tsv,2017-12-12,22,16
ParlaMint-FR-en_2017-12-12-O1094-meta.tsv,2017-12-12,57,26
ParlaMint-FR-en_2017-12-12-O1095-meta.tsv,2017-12-12,31,24
ParlaMint-FR-en_2017-12-13-O1096-meta.tsv,2017-12-13,55,27
ParlaMint-FR-en_2017-12-13-O1097-meta.tsv,2017-12-13,34,20
ParlaMint-FR-en_2017-12-14-O1098-meta.tsv,2017-12-14,20,15
ParlaMint-FR-en_2017-12-15-O1099-meta.tsv,2017-12-15,15,10
ParlaMint-FR-en_2017-12-15-O1100-meta.tsv,2017-12-15,18,9
ParlaMint-FR-en_2017-12-15-O1101-meta.tsv,2017-12-15,18,10
ParlaMint-FR-en_2017-12-18-O1102-meta.tsv,2017-12-18,15,6
ParlaMint-FR-en_2017-12-18-O1103-meta.tsv,2017-12-18,16,11
ParlaMint-FR-en_2017-12-19-O1104-meta.tsv,2017-12-19,23,16
ParlaMint-FR-en_2017-12-19-O1105-meta.tsv,2017-12-19,58,31
ParlaMint-FR-en_2017-12-19-O1106-meta.tsv,2017-12-19,33,15
ParlaMint-FR-en_2017-12-20-O1107-meta.tsv,2017-12-20,58,19
ParlaMint-FR-en_2017-12-20-O1108-meta.tsv,2017-12-20,28,15
ParlaMint-FR-en_2017-12-21-O1109-meta.tsv,2017-12-21,26,15
ParlaMint-FR-en_2017-12-21-O1110-meta.tsv,2017-12-21,11,4
ParlaMint-FR-en_2018-01-16-O1111-meta.tsv,2018-01-16,66,20
ParlaMint-FR-en_2018-01-16-O1112-meta.tsv,2018-01-16,30,18
ParlaMint-FR-en_2018-01-17-O1113-meta.tsv,2018-01-17,37,30
ParlaMint-FR-en_2018-01-17-O1114-meta.tsv,2018-01-17,28,25
ParlaMint-FR-en_2018-01-18-O1115-meta.tsv,2018-01-18,35,14
ParlaMint-FR-en_2018-01-18-O1116-meta.tsv,2018-01-18,25,15
ParlaMint-FR-en_2018-01-18-O1117-meta.tsv,2018-01-18,8,8
ParlaMint-FR-en_2018-01-22-O1118-meta.tsv,2018-01-22,23,8
ParlaMint-FR-en_2018-01-23-O1119-meta.tsv,2018-01-23,22,16
ParlaMint-FR-en_2018-01-23-O1120-meta.tsv,2018-01-23,56,28
ParlaMint-FR-en_2018-01-23-O1121-meta.tsv,2018-01-23,35,13
ParlaMint-FR-en_2018-01-24-O1122-meta.tsv,2018-01-24,60,24
ParlaMint-FR-en_2018-01-24-O1123-meta.tsv,2018-01-24,39,14
ParlaMint-FR-en_2018-01-25-O1124-meta.tsv,2018-01-25,36,18
ParlaMint-FR-en_2018-01-25-O1125-meta.tsv,2018-01-25,31,16
ParlaMint-FR-en_2018-01-30-O1126-meta.tsv,2018-01-30,19,14
ParlaMint-FR-en_2018-01-30-O1127-meta.tsv,2018-01-30,36,17
ParlaMint-FR-en_2018-01-30-O1128-meta.tsv,2018-01-30,47,23
ParlaMint-FR-en_2018-01-31-O1129-meta.tsv,2018-01-31,59,25
ParlaMint-FR-en_2018-01-31-O1130-meta.tsv,2018-01-31,25,11
ParlaMint-FR-en_2018-02-01-O1131-meta.tsv,2018-02-01,32,15
ParlaMint-FR-en_2018-02-01-O1132-meta.tsv,2018-02-01,32,21
ParlaMint-FR-en_2018-02-01-O1133-meta.tsv,2018-02-01,22,14
ParlaMint-FR-en_2018-02-06-O1134-meta.tsv,2018-02-06,65,23
ParlaMint-FR-en_2018-02-06-O1135-meta.tsv,2018-02-06,21,11
ParlaMint-FR-en_2018-02-07-O1136-meta.tsv,2018-02-07,69,20
ParlaMint-FR-en_2018-02-07-O1137-meta.tsv,2018-02-07,26,10
ParlaMint-FR-en_2018-02-08-O1138-meta.tsv,2018-02-08,10,10
ParlaMint-FR-en_2018-02-13-O1139-meta.tsv,2018-02-13,53,25
ParlaMint-FR-en_2018-02-13-O1140-meta.tsv,2018-02-13,42,19
ParlaMint-FR-en_2018-02-14-O1141-meta.tsv,2018-02-14,62,26
ParlaMint-FR-en_2018-02-15-O1142-meta.tsv,2018-02-15,20,20
ParlaMint-FR-en_2018-02-15-O1143-meta.tsv,2018-02-15,27,18
ParlaMint-FR-en_2018-02-15-O1144-meta.tsv,2018-02-15,21,13
ParlaMint-FR-en_2018-02-20-O1145-meta.tsv,2018-02-20,26,15
ParlaMint-FR-en_2018-02-20-O1146-meta.tsv,2018-02-20,60,24
ParlaMint-FR-en_2018-02-20-O1147-meta.tsv,2018-02-20,20,7
ParlaMint-FR-en_2018-02-21-O1148-meta.tsv,2018-02-21,61,29
ParlaMint-FR-en_2018-02-21-O1149-meta.tsv,2018-02-21,13,5
ParlaMint-FR-en_2018-02-22-O1150-meta.tsv,2018-02-22,21,14
ParlaMint-FR-en_2018-02-22-O1151-meta.tsv,2018-02-22,21,14
ParlaMint-FR-en_2018-03-06-O1152-meta.tsv,2018-03-06,60,25
