Session,Date,Coalition,Opposition
ParlaMint-FR-en_2017-06-27-O1124-meta.tsv,2017-06-27,1,1
ParlaMint-FR-en_2017-06-28-O1125-meta.tsv,2017-06-28,3,18
ParlaMint-FR-en_2017-07-03-C1001-meta.tsv,2017-07-03,3,5
ParlaMint-FR-en_2017-07-03-O1001-meta.tsv,2017-07-03,3,5
ParlaMint-FR-en_2017-07-04-E1001-meta.tsv,2017-07-04,4,33
ParlaMint-FR-en_2017-07-05-E1002-meta.tsv,2017-07-05,10,25
ParlaMint-FR-en_2017-07-06-E1003-meta.tsv,2017-07-06,10,23
ParlaMint-FR-en_2017-07-06-E1004-meta.tsv,2017-07-06,5,20
ParlaMint-FR-en_2017-07-10-E1005-meta.tsv,2017-07-10,14,27
ParlaMint-FR-en_2017-07-10-E1006-meta.tsv,2017-07-10,9,30
ParlaMint-FR-en_2017-07-11-E1007-meta.tsv,2017-07-11,15,45
ParlaMint-FR-en_2017-07-11-E1008-meta.tsv,2017-07-11,10,30
ParlaMint-FR-en_2017-07-12-E1009-meta.tsv,2017-07-12,19,54
ParlaMint-FR-en_2017-07-12-E1010-meta.tsv,2017-07-12,18,27
ParlaMint-FR-en_2017-07-13-E1011-meta.tsv,2017-07-13,9,28
ParlaMint-FR-en_2017-07-13-E1012-meta.tsv,2017-07-13,24,35
ParlaMint-FR-en_2017-07-18-E1013-meta.tsv,2017-07-18,13,32
ParlaMint-FR-en_2017-07-18-E1014-meta.tsv,2017-07-18,10,18
ParlaMint-FR-en_2017-07-19-E1015-meta.tsv,2017-07-19,28,49
ParlaMint-FR-en_2017-07-20-E1016-meta.tsv,2017-07-20,21,25
ParlaMint-FR-en_2017-07-24-E1017-meta.tsv,2017-07-24,14,47
ParlaMint-FR-en_2017-07-24-E1018-meta.tsv,2017-07-24,14,47
ParlaMint-FR-en_2017-07-25-E1019-meta.tsv,2017-07-25,25,57
ParlaMint-FR-en_2017-07-25-E1020-meta.tsv,2017-07-25,11,46
ParlaMint-FR-en_2017-07-26-E1021-meta.tsv,2017-07-26,29,66
ParlaMint-FR-en_2017-07-26-E1022-meta.tsv,2017-07-26,17,47
ParlaMint-FR-en_2017-07-27-E1023-meta.tsv,2017-07-27,23,36
ParlaMint-FR-en_2017-07-27-E1024-meta.tsv,2017-07-27,27,50
ParlaMint-FR-en_2017-07-27-E1025-meta.tsv,2017-07-27,22,40
