Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U1	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U2	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U3	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	s_kannimäe_19550616	Kannimäe, Sulev	M	1955	
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U4	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U5	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U6	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2021-01-28	ParlaMint-EE_2021-01-28_U7	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 28.01.2021, 10:00	2021-01-28	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-28	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
