Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U1	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U2	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	j_ossinovski_19860315	Ossinovski, Jevgeni	M	1986	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U3	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U4	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U5	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U6	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	i_padar_19650312	Padar, Ivari	M	1965	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U7	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U8	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	i_padar_19650312	Padar, Ivari	M	1965	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U9	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-02-11	ParlaMint-EE_2021-02-11_U10	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 11.02.2021, 10:00	2021-02-11	Unicameralism	XIV Riigikogu	V regular session	-	2021-02-11	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
