Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U1	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U2	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	notMP	Minister	-	-	-	-	t_terik_19790615	Terik, Tiit	M	1979	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U3	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U4	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U5	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U6	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U7	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U8	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U9	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	hv_seeder_19640907	Seeder, Helir-Valdor	M	1964	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U10	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-08	ParlaMint-EE_2021-11-08_U11	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 08.11.2021, 15:00	2021-11-08	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-08	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	k_grünthal_19600224	Grünthal, Kalle	M	1960	
