Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U1	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U2	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	h_hanso_19711006	Hanso, Hannes	M	1971	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U3	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U4	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U5	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U6	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	m_haukanõmm_19720522	Haukanõmm, Monika	F	1972	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U7	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U8	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	v_vassiljev_19530409	Vassiljev, Viktor	M	1953	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U9	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U10	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	j_madison_19910422	Madison, Jaak	M	1991	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U11	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U12	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	k_michal_19750712	Michal, Kristen	M	1975	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U13	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U14	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U15	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U16	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2017-04-20	ParlaMint-EE_2017-04-20_U17	XIII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 20.04.2017, 10:00	2017-04-20	Unicameralism	XIII Riigikogu	V regular session	-	2017-04-20	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	t_rõivas_19790926	Rõivas, Taavi	M	1979	
