Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2017-03-21	ParlaMint-EE_2017-03-21_U1	XIII Parliament term, V Session, Plenary Assembly regular meeting on Tuesday, 21.03.2017, 10:00	2017-03-21	Unicameralism	XIII Riigikogu	V regular session	-	2017-03-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-03-21	ParlaMint-EE_2017-03-21_U2	XIII Parliament term, V Session, Plenary Assembly regular meeting on Tuesday, 21.03.2017, 10:00	2017-03-21	Unicameralism	XIII Riigikogu	V regular session	-	2017-03-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-03-21	ParlaMint-EE_2017-03-21_U3	XIII Parliament term, V Session, Plenary Assembly regular meeting on Tuesday, 21.03.2017, 10:00	2017-03-21	Unicameralism	XIII Riigikogu	V regular session	-	2017-03-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-03-21	ParlaMint-EE_2017-03-21_U4	XIII Parliament term, V Session, Plenary Assembly regular meeting on Tuesday, 21.03.2017, 10:00	2017-03-21	Unicameralism	XIII Riigikogu	V regular session	-	2017-03-21	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_savisaar_19780616	Savisaar, Erki	M	1978	
ParlaMint-EE-en_2017-03-21	ParlaMint-EE_2017-03-21_U5	XIII Parliament term, V Session, Plenary Assembly regular meeting on Tuesday, 21.03.2017, 10:00	2017-03-21	Unicameralism	XIII Riigikogu	V regular session	-	2017-03-21	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
