Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	GeertReuten	Reuten, Geert	M	1946	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RuardGanzevoort	Ganzevoort, Ruard	M	1965	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	JuliusTerpstra	Terpstra, Julius	M	1989	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	JuliusTerpstra	Terpstra, Julius	M	1989	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	LeendertdeLange	de Lange, Leendert	M	1972	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	LoekHermans	Hermans, Loek	M	1951	
ParlaMint-NL-en_2014-12-22-eerstekamer-3	ParlaMint-NL_2014-12-22-eerstekamer-3.u11	Report of the meeting of the Dutch Upper House, Meeting 15, Session 3 (2014-12-22)	2014-12-22	Upper house	Meeting of the 34th Eerste Kamer	Session 3	Meeting 15	Sitting 2014-12-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarleenBarth	Barth, Marleen	F	1964	
