Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MichielvanVeen	van Veen, Michiel	M	1971	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MichielvanVeen	van Veen, Michiel	M	1971	
ParlaMint-NL-en_2014-12-16-tweedekamer-4	ParlaMint-NL_2014-12-16-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 37, Session 4 (2014-12-16)	2014-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 37	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
