Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u1	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u2	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MarjavanBijsterveldt	van Bijsterveldt, Marja	F	1961	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u3	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RuudKoole	Koole, Ruud	M	1953	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u4	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	HansEngels	Engels, Hans	M	1951	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u5	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RuudKoole	Koole, Ruud	M	1953	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u6	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u7	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u8	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonMeyer	Meyer, Ron	M	1981	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u9	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u10	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	HansEngels	Engels, Hans	M	1951	
ParlaMint-NL-en_2014-12-16-eerstekamer-2	ParlaMint-NL_2014-12-16-eerstekamer-2.u11	Report of the meeting of the Dutch Upper House, Meeting 14, Session 2 (2014-12-16)	2014-12-16	Upper house	Meeting of the 34th Eerste Kamer	Session 2	Meeting 14	Sitting 2014-12-16	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	RoelKuiper	Kuiper, Roel	M	1962	
