Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RenéLeegte	Leegte, René	M	1968	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u11	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u12	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2014-12-18-tweedekamer-22	ParlaMint-NL_2014-12-18-tweedekamer-22.u13	Report of the meeting of the Dutch Lower House, Meeting 39, Session 22 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
