Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IvoOpstelten	Opstelten, Ivo	M	1944	
ParlaMint-NL-en_2014-12-09-tweedekamer-2	ParlaMint-NL_2014-12-09-tweedekamer-2.u16	Report of the meeting of the Dutch Lower House, Meeting 34, Session 2 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
