Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KeklikYücel	Yücel, Keklik	F	1968	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-11-tweedekamer-5	ParlaMint-NL_2014-12-11-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 36, Session 5 (2014-12-11)	2014-12-11	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 36	Sitting 2014-12-11	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
