Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u1	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u2	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	EmileRoemer	Roemer, Emile	M	1962	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u3	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	GeertWilders	Wilders, Geert	M	1963	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u4	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	SybrandVanHaersmaBuma	Van Haersma Buma, Sybrand	M	1965	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u5	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u6	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u7	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u8	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartijnvanDam	van Dam, Martijn	M	1978	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u9	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u10	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	EmileRoemer	Roemer, Emile	M	1962	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u11	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderPechtold	Pechtold, Alexander	M	1965	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u12	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u13	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderPechtold	Pechtold, Alexander	M	1965	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u14	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u15	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u16	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u17	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	EmileRoemer	Roemer, Emile	M	1962	
ParlaMint-NL-en_2014-12-17-tweedekamer-17	ParlaMint-NL_2014-12-17-tweedekamer-17.u18	Report of the meeting of the Dutch Lower House, Meeting 38, Session 17 (2014-12-17)	2014-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 17	Meeting 38	Sitting 2014-12-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
