Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2006-06-07-m0	ParlaMint-UA_2006-06-07-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-07, n0	2006-06-07	Unicameralism	5	1	-	2006-06-07	-	Reference	English	Chairperson	MP	notMinister	frNU06	Our Ukraine Bloc 2006 Faction	-	Centre-right	МиколаДмитровичКатеринчук.1967	Katerynčuk, Mykola Dmytrovyč	M	1967	
ParlaMint-UA-en_2006-06-07-m0	ParlaMint-UA_2006-06-07-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-07, n0	2006-06-07	Unicameralism	5	1	-	2006-06-07	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	-	Big tent	ГригорійОмеляновичОмельченко.1951	Omel'čenko, Hryhorij Omeljanovyč	M	1951	
ParlaMint-UA-en_2006-06-07-m0	ParlaMint-UA_2006-06-07-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-07, n0	2006-06-07	Unicameralism	5	1	-	2006-06-07	-	Reference	English	Chairperson	MP	notMinister	frNU06	Our Ukraine Bloc 2006 Faction	-	Centre-right	МиколаДмитровичКатеринчук.1967	Katerynčuk, Mykola Dmytrovyč	M	1967	
