Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ZinClaudio	Zin, Claudio	M	1945	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ZinClaudio	Zin, Claudio	M	1945	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CandianiStefano	Candiani, Stefano	M	1971	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Regular	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CandianiStefano	Candiani, Stefano	M	1971	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ZinClaudio	Zin, Claudio	M	1945	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ZinClaudio	Zin, Claudio	M	1945	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-10-17-LEG17-Senato-sed-899	ParlaMint-IT_2017-10-17-LEG17-Senato-sed-899.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 899, Day (2017-10-17)	2017-10-17	Upper house	17 Legislatura	-	-	899 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
