Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	NCD	Nuovo Centrodestra	-	Centre to centre-right	GentileAntonio	Gentile, Antonio	M	1950	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RutaRoberto	Ruta, Roberto	M	1966	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RutaRoberto	Ruta, Roberto	M	1966	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ZinClaudio	Zin, Claudio	M	1945	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ZinClaudio	Zin, Claudio	M	1945	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	NCD	Nuovo Centrodestra	-	Centre to centre-right	GentileAntonio	Gentile, Antonio	M	1950	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	CastaldiGianluca	Castaldi, Gianluca	M	1970	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	CastaldiGianluca	Castaldi, Gianluca	M	1970	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2017-03-16-LEG17-Senato-sed-788	ParlaMint-IT_2017-03-16-LEG17-Senato-sed-788.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 788, Day (2017-03-16)	2017-03-16	Upper house	17 Legislatura	-	-	788 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
