Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DeganiBarbara	Degani, Barbara	F	1966	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	ZizzaVittorio	Zizza, Vittorio	M	1967	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	ZizzaVittorio	Zizza, Vittorio	M	1967	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	RossiDomenico	Rossi, Domenico	M	1951	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	ZizzaVittorio	Zizza, Vittorio	M	1967	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	ZizzaVittorio	Zizza, Vittorio	M	1967	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	PagliniSara	Paglini, Sara	F	1961	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	BiondelliFranca	Biondelli, Franca	F	1957	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	PagliniSara	Paglini, Sara	F	1961	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	PagliniSara	Paglini, Sara	F	1961	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
ParlaMint-IT-en_2017-04-27-LEG17-Senato-sed-814	ParlaMint-IT_2017-04-27-LEG17-Senato-sed-814.ana.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 814, Day (2017-04-27)	2017-04-27	Upper house	17 Legislatura	-	-	814 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	LanzillottaLinda	Lanzillotta, Linda	F	1948	
