Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u2	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AnneFlierman	Flierman, Anne	M	1955	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u3	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u4	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u5	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u6	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u7	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	FritsLintmeijer	Lintmeijer, Frits	M	1957	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u8	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	MirjamBikker	Bikker, Mirjam	F	1982	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u9	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	HansEngels	Engels, Hans	M	1951	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u10	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarleenBarth	Barth, Marleen	F	1964	
ParlaMint-NL-en_2015-09-22-eerstekamer-7	ParlaMint-NL_2015-09-22-eerstekamer-7.u11	Report of the meeting of the Dutch Upper House, Meeting 1, Session 7 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
