Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u12	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u13	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u14	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u15	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-22	ParlaMint-NL_2015-07-02-tweedekamer-22.u16	Report of the meeting of the Dutch Lower House, Meeting 104, Session 22 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
