Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AttjeKuiken	Kuiken, Attje	F	1977	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2015-11-12-tweedekamer-7	ParlaMint-NL_2015-11-12-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 24, Session 7 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
