Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-4	ParlaMint-NL_2015-03-31-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 69, Session 4 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 69	Sitting 2015-03-31	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
