Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	RiaOomen-Ruijten	Oomen-Ruijten, Ria	F	1950	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	KeesKok	Kok, Kees	M	1949	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AndrePostema	Postema, Andre	M	1969	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TuurElzinga	Elzinga, Tuur	M	1969	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	JanNagel	Nagel, Jan	M	1939	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderRinnooyKan	Rinnooy Kan, Alexander	M	1949	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartvandeVen	van de Ven, Mart	M	1954	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u11	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	FritsLintmeijer	Lintmeijer, Frits	M	1957	
ParlaMint-NL-en_2015-12-21-eerstekamer-3	ParlaMint-NL_2015-12-21-eerstekamer-3.u12	Report of the meeting of the Dutch Upper House, Meeting 14, Session 3 (2015-12-21)	2015-12-21	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 14	Sitting 2015-12-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
