Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AgnesWolbert	Wolbert, Agnes	F	1958	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u12	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u13	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u14	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-31	ParlaMint-NL_2015-07-02-tweedekamer-31.u15	Report of the meeting of the Dutch Lower House, Meeting 104, Session 31 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 31	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
