Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReinetteKlever	Klever, Reinette	F	1967	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2015-03-19-tweedekamer-7	ParlaMint-NL_2015-03-19-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 65, Session 7 (2015-03-19)	2015-03-19	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 65	Sitting 2015-03-19	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
