Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u1	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u2	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u3	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u4	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u5	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RenéLeegte	Leegte, René	M	1968	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u6	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u7	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u8	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u9	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RenéLeegte	Leegte, René	M	1968	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u10	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u11	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u12	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u13	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u14	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u15	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u16	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u17	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u18	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u19	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u20	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u21	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-03-tweedekamer-19	ParlaMint-NL_2015-03-03-tweedekamer-19.u22	Report of the meeting of the Dutch Lower House, Meeting 58, Session 19 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 58	Sitting 2015-03-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
