Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u1	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u2	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u3	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IngriddeCaluwé	de Caluwé, Ingrid	F	1967	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u4	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u5	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u6	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u7	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u8	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u9	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u10	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-08-tweedekamer-20	ParlaMint-NL_2015-12-08-tweedekamer-20.u11	Report of the meeting of the Dutch Lower House, Meeting 34, Session 20 (2015-12-08)	2015-12-08	Lower house	Meeting of the 28th Tweede Kamer	Session 20	Meeting 34	Sitting 2015-12-08	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AstridOosenbrug	Oosenbrug, Astrid	F	1968	
