Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	OtwinvanDijk	van Dijk, Otwin	M	1975	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ArnoRutte	Rutte, Arno	M	1972	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-07-02-tweedekamer-34	ParlaMint-NL_2015-07-02-tweedekamer-34.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 34 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 34	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
