Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u1	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u2	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterEssers	Essers, Peter	M	1957	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u3	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u4	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u5	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u6	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u7	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u8	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterEssers	Essers, Peter	M	1957	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u9	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u10	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-04-28-eerstekamer-5	ParlaMint-NL_2015-04-28-eerstekamer-5.u11	Report of the meeting of the Dutch Upper House, Meeting 30, Session 5 (2015-04-28)	2015-04-28	Upper house	Meeting of the 34th Eerste Kamer	Session 5	Meeting 30	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
