Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	YaseminÇegerek	Çegerek, Yasemin	F	1977	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	YaseminÇegerek	Çegerek, Yasemin	F	1977	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	YaseminÇegerek	Çegerek, Yasemin	F	1977	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-03-03-tweedekamer-2	ParlaMint-NL_2015-03-03-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 58, Session 2 (2015-03-03)	2015-03-03	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 58	Sitting 2015-03-03	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
