Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u1	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u2	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u3	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	OtwinvanDijk	van Dijk, Otwin	M	1975	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u4	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u5	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u6	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u7	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u8	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u9	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u10	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-09-tweedekamer-14	ParlaMint-NL_2015-12-09-tweedekamer-14.u11	Report of the meeting of the Dutch Lower House, Meeting 35, Session 14 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 35	Sitting 2015-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
