Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u1	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u2	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u3	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	SybrandVanHaersmaBuma	Van Haersma Buma, Sybrand	M	1965	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u4	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderPechtold	Pechtold, Alexander	M	1965	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u5	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u6	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u7	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u8	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u9	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u10	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2015-06-11-tweedekamer-15	ParlaMint-NL_2015-06-11-tweedekamer-15.u11	Report of the meeting of the Dutch Lower House, Meeting 95, Session 15 (2015-06-11)	2015-06-11	Lower house	Meeting of the 28th Tweede Kamer	Session 15	Meeting 95	Sitting 2015-06-11	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
