Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u1	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u2	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u3	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u4	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	ReinetteKlever	Klever, Reinette	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u5	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u6	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u7	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AlbertdeVries	de Vries, Albert	M	1955	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u8	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AlbertdeVries	de Vries, Albert	M	1955	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u9	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HaykeVeldman	Veldman, Hayke	M	1969	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u10	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-21-tweedekamer-27	ParlaMint-NL_2015-04-21-tweedekamer-27.u11	Report of the meeting of the Dutch Lower House, Meeting 78, Session 27 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 27	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HarryvanBommel	van Bommel, Harry	M	1962	
