Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u1	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u2	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u3	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u4	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u5	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u6	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u7	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u8	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u9	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u10	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-06-10-tweedekamer-11	ParlaMint-NL_2015-06-10-tweedekamer-11.u11	Report of the meeting of the Dutch Lower House, Meeting 94, Session 11 (2015-06-10)	2015-06-10	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 94	Sitting 2015-06-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
