Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u1	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u2	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AnneFlierman	Flierman, Anne	M	1955	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u3	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u4	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u5	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	LoekHermans	Hermans, Loek	M	1951	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u6	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u7	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u8	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	JorisBacker	Backer, Joris	M	1953	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u9	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u10	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-30-eerstekamer-5	ParlaMint-NL_2015-06-30-eerstekamer-5.u11	Report of the meeting of the Dutch Upper House, Meeting 37, Session 5 (2015-06-30)	2015-06-30	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 37	Sitting 2015-06-30	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	LoekHermans	Hermans, Loek	M	1951	
