Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u1	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u2	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u3	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u4	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u5	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u6	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u7	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u8	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u9	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u10	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	SharonGesthuizen	Gesthuizen, Sharon	F	1976	
ParlaMint-NL-en_2015-04-30-tweedekamer-12	ParlaMint-NL_2015-04-30-tweedekamer-12.u11	Report of the meeting of the Dutch Lower House, Meeting 83, Session 12 (2015-04-30)	2015-04-30	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 83	Sitting 2015-04-30	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
