Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u1	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u2	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TamaravanArk	van Ark, Tamara	F	1974	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u3	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u4	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	HenkvanGerven	van Gerven, Henk	M	1955	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u5	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u6	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	OtwinvanDijk	van Dijk, Otwin	M	1975	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u7	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u8	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u9	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u10	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u11	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u12	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u13	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u14	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u15	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u16	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u17	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	FleurAgema	Agema, Fleur	F	1976	
ParlaMint-NL-en_2015-12-16-tweedekamer-11	ParlaMint-NL_2015-12-16-tweedekamer-11.u18	Report of the meeting of the Dutch Lower House, Meeting 38, Session 11 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 11	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
