Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoosVermeij	Vermeij, Roos	F	1968	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoosVermeij	Vermeij, Roos	F	1968	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PaulUlenbelt	Ulenbelt, Paul	M	1952	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoosVermeij	Vermeij, Roos	F	1968	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SjoerdPotters	Potters, Sjoerd	M	1974	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoosVermeij	Vermeij, Roos	F	1968	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-02-tweedekamer-3	ParlaMint-NL_2015-04-02-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 71, Session 3 (2015-04-02)	2015-04-02	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 71	Sitting 2015-04-02	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
