Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-22-eerstekamer-8	ParlaMint-NL_2015-12-22-eerstekamer-8.u1	Report of the meeting of the Dutch Upper House, Meeting 15, Session 8 (2015-12-22)	2015-12-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 15	Sitting 2015-12-22	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	HansEngels	Engels, Hans	M	1951	
ParlaMint-NL-en_2015-12-22-eerstekamer-8	ParlaMint-NL_2015-12-22-eerstekamer-8.u2	Report of the meeting of the Dutch Upper House, Meeting 15, Session 8 (2015-12-22)	2015-12-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 15	Sitting 2015-12-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-22-eerstekamer-8	ParlaMint-NL_2015-12-22-eerstekamer-8.u3	Report of the meeting of the Dutch Upper House, Meeting 15, Session 8 (2015-12-22)	2015-12-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 15	Sitting 2015-12-22	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-12-22-eerstekamer-8	ParlaMint-NL_2015-12-22-eerstekamer-8.u4	Report of the meeting of the Dutch Upper House, Meeting 15, Session 8 (2015-12-22)	2015-12-22	Upper house	Meeting of the 35th Eerste Kamer	Session 8	Meeting 15	Sitting 2015-12-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
