Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u17	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u18	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u19	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u20	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-03-24-tweedekamer-3	ParlaMint-NL_2015-03-24-tweedekamer-3.u21	Report of the meeting of the Dutch Lower House, Meeting 66, Session 3 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 66	Sitting 2015-03-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
