Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MadeleinevanToorenburg	van Toorenburg, Madeleine	F	1968	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	OckjeTellegen	Tellegen, Ockje	F	1974	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2015-12-16-tweedekamer-9	ParlaMint-NL_2015-12-16-tweedekamer-9.u12	Report of the meeting of the Dutch Lower House, Meeting 38, Session 9 (2015-12-16)	2015-12-16	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 38	Sitting 2015-12-16	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
