Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RoaldvanderLinde	van der Linde, Roald	M	1968	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WouterKoolmees	Koolmees, Wouter	M	1977	
ParlaMint-NL-en_2015-10-13-tweedekamer-8	ParlaMint-NL_2015-10-13-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 13, Session 8 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AlbertdeVries	de Vries, Albert	M	1955	
