Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	GeertWilders	Wilders, Geert	M	1963	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	SybrandVanHaersmaBuma	Van Haersma Buma, Sybrand	M	1965	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	MarianneThieme	Thieme, Marianne	F	1972	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HalbeZijlstra	Zijlstra, Halbe	M	1969	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	AlexanderPechtold	Pechtold, Alexander	M	1965	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	JoramvanKlaveren	van Klaveren, Joram	M	1979	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	EmileRoemer	Roemer, Emile	M	1962	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-16-tweedekamer-3	ParlaMint-NL_2015-09-16-tweedekamer-3.u17	Report of the meeting of the Dutch Lower House, Meeting 2, Session 3 (2015-09-16)	2015-09-16	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 2	Sitting 2015-09-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DiederikSamsom	Samsom, Diederik	M	1971	
