Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MarithVolp	Volp, Marith	F	1972	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-01-tweedekamer-5	ParlaMint-NL_2015-12-01-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 31, Session 5 (2015-12-01)	2015-12-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 31	Sitting 2015-12-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
