Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KarinStraus	Straus, Karin	F	1971	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KarinStraus	Straus, Karin	F	1971	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-10-08-tweedekamer-8	ParlaMint-NL_2015-10-08-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 12, Session 8 (2015-10-08)	2015-10-08	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 12	Sitting 2015-10-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
