Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2015-04-21-tweedekamer-5	ParlaMint-NL_2015-04-21-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 78, Session 5 (2015-04-21)	2015-04-21	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 78	Sitting 2015-04-21	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
