Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MartijnvanHelvert	van Helvert, Martijn	M	1978	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DucoHoogland	Hoogland, Duco	M	1984	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u12	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u13	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u14	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u15	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u16	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-16	ParlaMint-NL_2015-07-02-tweedekamer-16.u17	Report of the meeting of the Dutch Lower House, Meeting 104, Session 16 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 16	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
