Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	PieterDuisenberg	Duisenberg, Pieter	M	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	OckjeTellegen	Tellegen, Ockje	F	1974	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-08-tweedekamer-6	ParlaMint-NL_2015-09-08-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 109, Session 6 (2015-09-08)	2015-09-08	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 109	Sitting 2015-09-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
