Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AgnesWolbert	Wolbert, Agnes	F	1958	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AgnesWolbert	Wolbert, Agnes	F	1958	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AgnesWolbert	Wolbert, Agnes	F	1958	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ErikZiengs	Ziengs, Erik	M	1960	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-10-27-tweedekamer-2	ParlaMint-NL_2015-10-27-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 16, Session 2 (2015-10-27)	2015-10-27	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 16	Sitting 2015-10-27	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
