Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-01-13-tweedekamer-5	ParlaMint-NL_2015-01-13-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2015-01-13)	2015-01-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2015-01-13	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2015-01-13-tweedekamer-5	ParlaMint-NL_2015-01-13-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2015-01-13)	2015-01-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2015-01-13	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2015-01-13-tweedekamer-5	ParlaMint-NL_2015-01-13-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2015-01-13)	2015-01-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2015-01-13	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2015-01-13-tweedekamer-5	ParlaMint-NL_2015-01-13-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2015-01-13)	2015-01-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2015-01-13	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2015-01-13-tweedekamer-5	ParlaMint-NL_2015-01-13-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2015-01-13)	2015-01-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2015-01-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
