Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterHeerma	Heerma, Pieter	M	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JeroenvanWijngaarden	van Wijngaarden, Jeroen	M	1978	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-07-02-tweedekamer-9	ParlaMint-NL_2015-07-02-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 9 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
