Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JettaKlijnsma	Klijnsma, Jetta	M	1957	
ParlaMint-NL-en_2015-10-13-tweedekamer-5	ParlaMint-NL_2015-10-13-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 13, Session 5 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
