Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TonElias	Elias, Ton	M	1955	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	TonElias	Elias, Ton	M	1955	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-01-20-tweedekamer-3	ParlaMint-NL_2015-01-20-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 43, Session 3 (2015-01-20)	2015-01-20	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 43	Sitting 2015-01-20	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
