Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MeiLiVos	Vos, Mei Li	F	1970	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MichielvanVeen	van Veen, Michiel	M	1971	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u12	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-03-25-tweedekamer-9	ParlaMint-NL_2015-03-25-tweedekamer-9.u13	Report of the meeting of the Dutch Lower House, Meeting 67, Session 9 (2015-03-25)	2015-03-25	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 67	Sitting 2015-03-25	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
