Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WassilaHachchi	Hachchi, Wassila	F	1980	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WassilaHachchi	Hachchi, Wassila	F	1980	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WassilaHachchi	Hachchi, Wassila	F	1980	
ParlaMint-NL-en_2015-10-15-tweedekamer-2	ParlaMint-NL_2015-10-15-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 15, Session 2 (2015-10-15)	2015-10-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 15	Sitting 2015-10-15	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
