Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	RaymondKnops	Knops, Raymond	M	1971	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	RaymondKnops	Knops, Raymond	M	1971	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-06-25-tweedekamer-13	ParlaMint-NL_2015-06-25-tweedekamer-13.u11	Report of the meeting of the Dutch Lower House, Meeting 101, Session 13 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
