Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	BramvanOjik	van Ojik, Bram	M	1954	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-04-28-tweedekamer-5	ParlaMint-NL_2015-04-28-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 81, Session 5 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 81	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
