ParlaMint-NL_2015-07-02-tweedekamer-35.u1	Before we vote, there are a number of Members who would like to make a comment on the voting list.
ParlaMint-NL_2015-07-02-tweedekamer-35.u2	I would like to put my motions to the vote on the motions before the VAO. 144 and No. Sixty-sixty on the line.
ParlaMint-NL_2015-07-02-tweedekamer-35.u3	At the request of Mrs Ouwehand, I propose her motion (22820, No. 144) and its amended motion (32820, No. 160, was No. 145). That is what is decided.
ParlaMint-NL_2015-07-02-tweedekamer-35.u4	During the votes on the motions submitted to the VAO Foreigner's and Asylum Policy, I would like the first motion of my hand, which is in part No. 2014, hold on.
ParlaMint-NL_2015-07-02-tweedekamer-35.u5	At the request of Mrs Gesthuizen, I propose her motion (19637, No. Council Regulation (EC, Euratom, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, EEC, Euratom, ECSC, ECSC, ECSC, ECSC, ECSC, EEC, Euratom, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, ECSC, That is what is decided.
ParlaMint-NL_2015-07-02-tweedekamer-35.u6	I would like to table my motion in the votes on the motions to the VAO WWB subjects and in the Participation Act my motion in part No.
ParlaMint-NL_2015-07-02-tweedekamer-35.u7	At the request of Mr Kerstens, I propose his motion (30545), No. 174). That is what is decided.
ParlaMint-NL_2015-07-02-tweedekamer-35.u8	Are there any other Members who would like to comment on the voting list? That is not the case. Let's vote now. At the Bureau it was agreed that today, during these votes, I will only read out the number and name of the author of the motion.
ParlaMint-NL_2015-07-02-tweedekamer-35.u9	I hope then that I can cheer as much as you raise your hands very quickly each time. It takes two people to dance this dance, or 150 in this case. Yeah, you guys are right again.
