Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-17-tweedekamer-23	ParlaMint-NL_2015-12-17-tweedekamer-23.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 23 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 23	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-23	ParlaMint-NL_2015-12-17-tweedekamer-23.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 23 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 23	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-12-17-tweedekamer-23	ParlaMint-NL_2015-12-17-tweedekamer-23.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 23 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 23	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-12-17-tweedekamer-23	ParlaMint-NL_2015-12-17-tweedekamer-23.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 23 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 23	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-23	ParlaMint-NL_2015-12-17-tweedekamer-23.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 23 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 23	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-12-17-tweedekamer-23	ParlaMint-NL_2015-12-17-tweedekamer-23.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 23 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 23	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
