Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u1	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u2	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u3	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u4	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u5	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u6	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u7	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u8	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u9	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u10	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u11	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u12	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u13	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u14	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u15	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u16	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Regular	MP	notMinister	-	-	-	-	DanaivanWeerdenburg	van Weerdenburg, Danai	F	1976	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u17	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u18	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-14-eerstekamer-3	ParlaMint-NL_2015-12-14-eerstekamer-3.u19	Report of the meeting of the Dutch Upper House, Meeting 12, Session 3 (2015-12-14)	2015-12-14	Upper house	Meeting of the 35th Eerste Kamer	Session 3	Meeting 12	Sitting 2015-12-14	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
