Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	BarryMadlener	Madlener, Barry	M	1969	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	BarryMadlener	Madlener, Barry	M	1969	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EricWiebes	Wiebes, Eric	M	1963	
ParlaMint-NL-en_2015-04-28-tweedekamer-6	ParlaMint-NL_2015-04-28-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 81, Session 6 (2015-04-28)	2015-04-28	Lower house	Meeting of the 28th Tweede Kamer	Session 6	Meeting 81	Sitting 2015-04-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
