Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u1	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u2	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	Van Vliet	Fractie Van Vliet	-	-	RolandvanVliet	van Vliet, Roland	M	1969	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u3	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u4	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u5	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u6	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	HenkKrol	Krol, Henk	M	1950	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u7	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u8	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u9	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u10	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-11-12-tweedekamer-12	ParlaMint-NL_2015-11-12-tweedekamer-12.u11	Report of the meeting of the Dutch Lower House, Meeting 24, Session 12 (2015-11-12)	2015-11-12	Lower house	Meeting of the 28th Tweede Kamer	Session 12	Meeting 24	Sitting 2015-11-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
