Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u1	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u2	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u3	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u4	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u5	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u6	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u7	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u8	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u9	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MarkRutte	Rutte, Mark	M	1967	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u10	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u11	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	GerritHoldijk	Holdijk, Gerrit	M	1944	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u12	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u13	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u14	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	GeertJanHamilton	Hamilton, Geert Jan	M	-	
ParlaMint-NL-en_2015-06-02-eerstekamer-9	ParlaMint-NL_2015-06-02-eerstekamer-9.u15	Report of the meeting of the Dutch Upper House, Meeting 33, Session 9 (2015-06-02)	2015-06-02	Upper house	Meeting of the 34th Eerste Kamer	Session 9	Meeting 33	Sitting 2015-06-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
